En	HyLong	HyMid	HyShort	HyMissing
Wikipedia:Vital articles/Level/5/People/Writers and journalists	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք երկար են/Մարդիկ/Գրողներ և լրագրողներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք միջին են/Մարդիկ/Գրողներ և լրագրողներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք կարճ են/Մարդիկ/Գրողներ և լրագրողներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք բացակայում են/Մարդիկ/Գրողներ և լրագրողներ
Wikipedia:Vital articles/Level/5/People/Artists, musicians, and composers	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք երկար են/Մարդիկ/Նկարիչներ, երաժիշտներ և կոմպոզիտորներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք միջին են/Մարդիկ/Նկարիչներ, երաժիշտներ և կոմպոզիտորներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք կարճ են/Մարդիկ/Նկարիչներ, երաժիշտներ և կոմպոզիտորներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք բացակայում են/Մարդիկ/Նկարիչներ, երաժիշտներ և կոմպոզիտորներ
Wikipedia:Vital articles/Level/5/People/Entertainers, directors, producers, and screenwriters	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք երկար են/Մարդիկ/Հաղորդավարներ, ռեժիսորներ, պրոդյուսերներ և սցենարիստներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք միջին են/Մարդիկ/Հաղորդավարներ, ռեժիսորներ, պրոդյուսերներ և սցենարիստներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք կարճ են/Մարդիկ/Հաղորդավարներ, ռեժիսորներ, պրոդյուսերներ և սցենարիստներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք բացակայում են/Մարդիկ/Հաղորդավարներ, ռեժիսորներ, պրոդյուսերներ և սցենարիստներ
Wikipedia:Vital articles/Level/5/People/Philosophers, historians, political and social scientists	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք երկար են/Մարդիկ/Փիլիսոփաներ, պատմաբաններ, քաղաքական և հասարակական գիտնականներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք միջին են/Մարդիկ/Փիլիսոփաներ, պատմաբաններ, քաղաքական և հասարակական գիտնականներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք կարճ են/Մարդիկ/Փիլիսոփաներ, պատմաբաններ, քաղաքական և հասարակական գիտնականներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք բացակայում են/Մարդիկ/Փիլիսոփաներ, պատմաբաններ, քաղաքական և հասարակական գիտնականներ
Wikipedia:Vital articles/Level/5/People/Religious figures	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք երկար են/Մարդիկ/Կրոնական գործիչներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք միջին են/Մարդիկ/Կրոնական գործիչներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք կարճ են/Մարդիկ/Կրոնական գործիչներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք բացակայում են/Մարդիկ/Կրոնական գործիչներ
Wikipedia:Vital articles/Level/5/People/Politicians and leaders	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք երկար են/Մարդիկ/Քաղաքական գործիչներ և առաջնորդներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք միջին են/Մարդիկ/Քաղաքական գործիչներ և առաջնորդներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք կարճ են/Մարդիկ/Քաղաքական գործիչներ և առաջնորդներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք բացակայում են/Մարդիկ/Քաղաքական գործիչներ և առաջնորդներ
Wikipedia:Vital articles/Level/5/People/Military personnel, revolutionaries, and activists	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք երկար են/Մարդիկ/Զինվորականներ, հեղափոխականներ և ակտիվիստներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք միջին են/Մարդիկ/Զինվորականներ, հեղափոխականներ և ակտիվիստներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք կարճ են/Մարդիկ/Զինվորականներ, հեղափոխականներ և ակտիվիստներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք բացակայում են/Մարդիկ/Զինվորականներ, հեղափոխականներ և ակտիվիստներ
Wikipedia:Vital articles/Level/5/People/Scientists, inventors, and mathematicians	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք երկար են/Մարդիկ/Գիտնականներ, գյուտարարներ և մաթեմատիկոսներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք միջին են/Մարդիկ/Գիտնականներ, գյուտարարներ և մաթեմատիկոսներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք կարճ են/Մարդիկ/Գիտնականներ, գյուտարարներ և մաթեմատիկոսներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք բացակայում են/Մարդիկ/Գիտնականներ, գյուտարարներ և մաթեմատիկոսներ
Wikipedia:Vital articles/Level/5/People/Sports figures	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք երկար են/Մարդիկ/Սպորտի գործիչներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք միջին են/Մարդիկ/Սպորտի գործիչներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք կարճ են/Մարդիկ/Սպորտի գործիչներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք բացակայում են/Մարդիկ/Սպորտի գործիչներ
Wikipedia:Vital articles/Level/5/People/Miscellaneous	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք երկար են/Մարդիկ/Այլ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք միջին են/Մարդիկ/Այլ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք կարճ են/Մարդիկ/Այլ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք բացակայում են/Մարդիկ/Այլ
Wikipedia:Vital articles/Level/5/History	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք երկար են/Պատմություն	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք միջին են/Պատմություն	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք կարճ են/Պատմություն	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք բացակայում են/Պատմություն
Wikipedia:Vital articles/Level/5/Geography/Physical	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք երկար են/Աշխարհագրություն/ֆիզիկական	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք միջին են/Աշխարհագրություն/ֆիզիկական	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք կարճ են/Աշխարհագրություն/ֆիզիկական	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք բացակայում են/Աշխարհագրություն/ֆիզիկական
Wikipedia:Vital articles/Level/5/Geography/Countries	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք երկար են/Աշխարհագրություն/Երկրներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք միջին են/Աշխարհագրություն/Երկրներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք կարճ են/Աշխարհագրություն/Երկրներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք բացակայում են/Աշխարհագրություն/Երկրներ
Wikipedia:Vital articles/Level/5/Geography/Cities	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք երկար են/Աշխարհագրություն/Քաղաքներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք միջին են/Աշխարհագրություն/Քաղաքներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք կարճ են/Քաղաքներ	Վիքիպեդիա:Կարևորագույն հոդվածներ, որոնք բացակայում են/Աշխարհագրություն/Քաղաքներ
